"last_name, first_name","player_id","year","on_base_plus_slg","woba","xwoba","xiso","avg_swing_speed","avg_swing_length","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Peralta, David","444482","2024","0.750",".329",".314",".121",71.5,"7.2","88.1",36.8,5.5,42.3,"99.478011319","93.91992022"
"Blackmon, Charlie","453568","2024","0.741",".323",".307",".121",67.4,"7.1","84.8",34.1,5.2,27.2,"96.083583591","92.106050111"
"Solano, Donovan","456781","2024","0.760",".333",".310",".129",67.1,"7","87.3",37,3.7,37.4,"98.057695046","93.167454908"
"McCutchen, Andrew","457705","2024","0.739",".325",".333",".202",72.7,"7.6","88.5",31.9,12,36.9,"99.424962893","93.831123091"
"Turner, Justin","457759","2024","0.737",".327",".330",".135",65.1,"6.3","87.1",40.1,4.6,32.5,"96.702342312","92.434680753"
"Santana, Carlos","467793","2024","0.748",".326",".330",".175",71.8,"7.6","89.2",30.9,7.3,39.9,"99.506124387","94.004167778"
"Rojas, Miguel","500743","2024","0.747",".327",".314",".084",67.8,"7","85",33.2,2.5,27.8,"96.317826471","92.174445609"
"Pham, Tommy","502054","2024","0.673",".297",".323",".151",72.7,"6.9","90.4",32.2,7.2,42.7,"101.105935449","94.883209671"
"Martinez, J.D.","502110","2024","0.726",".318",".356",".224",73,"8.4","91",39.3,14.9,46.1,"101.443240544","95.173257041"
"Goldschmidt, Paul","502671","2024","0.716",".310",".333",".206",72.5,"7.8","91.2",34.3,10.7,49.6,"101.892583709","95.666428146"
"Altuve, Jose","514888","2024","0.789",".344",".318",".142",69.4,"7.8","86.5",35.4,6.5,31.2,"97.323672581","92.693762581"
"Marte, Starling","516782","2024","0.715",".313",".338",".142",72.4,"7.3","89.8",37.1,6.9,42.9,"101.20205624","94.944189"
"d'Arnaud, Travis","518595","2024","0.738",".319",".323",".203",71.4,"7.8","89.9",32.9,10.4,41,"100.537202273","94.672343091"
"Freeman, Freddie","518692","2024","0.854",".365",".370",".196",69.8,"6.8","89.4",43.1,9.1,41.8,"100.349133067","94.527301044"
"Grandal, Yasmani","518735","2024","0.704",".308",".327",".182",70.3,"7.4","91.1",31.8,9.8,42.8,"100.246108353","94.442007765"
"Heyward, Jason","518792","2024","0.700",".300",".290",".119",73.3,"8.2","88",29.8,5.6,41.6,"99.992543146","94.178780339"
"LeMahieu, DJ","518934","2024","0.528",".239",".302",".123",67.3,"7.1","88.5",31.8,5.8,37.6,"98.271498488","93.240584302"
"Rizzo, Anthony","519203","2024","0.636",".285",".296",".106",68.5,"6.8","86.7",31,4,33.2,"97.798203577","92.909990255"
"Stanton, Giancarlo","519317","2024","0.773",".330",".355",".271",81.3,"8.6","94.6",34.8,20.7,55.3,"108.185328759","99.180033333"
"Perez, Salvador","521692","2024","0.786",".335",".362",".255",73.2,"7.9","91.1",39.4,12.2,44.8,"101.856275647","95.341857371"
"Flores, Wilmer","527038","2024","0.595",".262",".286",".124",66,"6.9","83.5",36.6,5.9,27.6,"95.484386989","91.787573297"
"Ozuna, Marcell","542303","2024","0.924",".395",".405",".294",74,"7.4","92.2",40.2,15.5,53.5,"103.370699452","96.509068973"
"Grossman, Robbie","543257","2024","0.615",".283",".290",".084",67.5,"6.5","86.3",30.3,3.3,27.6,"96.108367632","92.054845855"
"Higashioka, Kyle","543309","2024","0.739",".314",".301",".218",71.8,"7.3","88.4",40.2,10.9,37.4,"99.356005116","93.902030409"
"McCann, James","543510","2024","0.667",".288",".315",".180",70.7,"6.9","87.4",38.9,8.6,37.7,"99.207987625","93.644913774"
"Rendon, Anthony","543685","2024","0.574",".264",".289",".096",68.3,"6.7","87.9",31.4,2.3,37.1,"97.612997471","92.991806897"
"Semien, Marcus","543760","2024","0.699",".306",".319",".147",68.3,"7.7","87.4",33,6.6,35.2,"97.806210919","93.005121934"
"Springer III, George","543807","2024","0.674",".298",".324",".165",71.9,"7.4","87.5",29.2,9.3,37.4,"99.896868","94.046929394"
"Vázquez, Christian","543877","2024","0.575",".250",".269",".121",68.3,"7","88.5",36.1,3.8,36.6,"98.036944138","93.213200991"
"Vargas, Ildemaro","545121","2024","0.611",".271",".278",".070",69.6,"7.2","87",29.5,1.2,31.9,"97.073438667","92.579283167"
"Grichuk, Randal","545341","2024","0.876",".373",".368",".221",73.7,"7.7","90.6",34.3,11,47.6,"102.436633714","95.601048095"
"Harper, Bryce","547180","2024","0.898",".380",".361",".216",74.1,"7.3","91.1",36.1,10.6,48.2,"102.531835097","95.63882949"
"Díaz, Elias","553869","2024","0.695",".303",".280",".102",73.9,"7","87.1",31,4.7,34.5,"99.032119063","93.543152344"
"Suárez, Eugenio","553993","2024","0.788",".337",".332",".207",72.2,"7.8","89.1",40.4,11.3,42.4,"100.570552315","94.463438988"
"Urshela, Gio","570482","2024","0.647",".281",".302",".131",68.2,"7.1","86.4",38.6,4.9,28.4,"96.696776409","92.394270526"
"Arenado, Nolan","571448","2024","0.719",".314",".297",".105",70.7,"8.2","86.3",35.9,3.2,31.6,"96.924147927","92.483246402"
"Farmer, Kyle","571657","2024","0.646",".285",".295",".141",66.7,"6.8","87.7",36.3,5.4,29.8,"97.025598571","92.547452202"
"Haniger, Mitch","571745","2024","0.620",".277",".294",".154",72.9,"7.1","90.6",31,9,45.9,"101.021551732","95.105264331"
"Hernández, Enrique","571771","2024","0.654",".285",".285",".131",71.6,"7.4","89.6",36,4.8,41.5,"99.326670699","93.89398972"
"Maile, Luke","571912","2024","0.520",".241",".240",".077",67.7,"6.7","84.7",37.6,3.5,24.7,"95.22202881","91.660711687"
"Muncy, Max","571970","2024","0.852",".362",".353",".228",71.3,"7.2","90.2",32.5,10.8,43.4,"100.775015181","94.752278735"
"Singleton, Jon","572138","2024","0.707",".312",".310",".158",72.1,"7.1","88.7",34.8,8.9,37.2,"99.784248293","93.99841"
"Taylor, Michael A.","572191","2024","0.543",".242",".272",".131",74,"7.2","89.3",31.4,11.6,40.1,"100.583164074","94.548357778"
"Walker, Christian","572233","2024","0.803",".343",".354",".216",75,"7.5","91.2",35,13.3,48,"103.127969548","96.011102521"
"Carpenter, Matt","572761","2024","0.686",".303",".292",".147",69.3,"8.1","85.8",46.6,6.8,28.7,"96.566800238","92.292438452"
"Yastrzemski, Mike","573262","2024","0.739",".319",".304",".184",70.9,"7.6","90.4",33,10.5,41,"99.549726267","94.1835"
"Contreras, Willson","575929","2024","0.848",".370",".366",".200",75.9,"7.9","91.6",32.7,11.2,46.8,"103.712134757","96.17214078"
"Iglesias, Jose","578428","2024","0.829",".362",".312",".082",69.7,"6.8","85.8",36.2,2.2,30.6,"96.964592759","92.513387672"
"Bryant, Kris","592178","2024","0.624",".287",".293",".110",69.5,"7.9","85.1",39.5,4.7,30.2,"96.785346744","92.39417314"
"Canha, Mark","592192","2024","0.690",".310",".290",".097",68.4,"7.2","88.4",31.5,3.3,37.4,"98.159166424","93.219326921"
"Castellanos, Nick","592206","2024","0.742",".321",".335",".178",71.9,"7.6","88.4",39,8.1,38.2,"99.266703034","93.738511581"
"Drury, Brandon","592273","2024","0.470",".217",".261",".092",72.6,"7.4","87.6",25.9,3.6,35.6,"99.062132195","93.550623821"
"Judge, Aaron","592450","2024","1.159",".476",".484",".427",77.2,"8.2","96.2",40.8,26.9,61,"107.20043567","99.103701521"
"Machado, Manny","592518","2024","0.797",".340",".338",".193",75.3,"7.8","92.5",33.8,11,48.8,"103.370494128","96.17209183"
"Pederson, Joc","592626","2024","0.908",".391",".381",".224",73.4,"7.7","92.3",34.2,12.8,46.2,"102.648599462","95.864061892"
"Realmuto, J.T.","592663","2024","0.751",".326",".344",".200",73.2,"7.6","89.2",36.9,10.4,46.6,"101.248653813","94.909982842"
"Renfroe, Hunter","592669","2024","0.689",".302",".292",".144",75.2,"7.6","88.5",27.8,6.6,39.4,"100.265103311","94.256549636"
"Rosario, Eddie","592696","2024","0.531",".230",".259",".133",70.3,"7.2","91",27.9,5.3,42.5,"99.203116161","94.098201031"
"Yelich, Christian","592885","2024","0.910",".391",".376",".183",73.2,"7.5","91.1",32.2,7.9,46.7,"103.017733429","96.008981238"
"Merrifield, Whit","593160","2024","0.625",".283",".297",".077",63.4,"6.9","84.1",34.3,2.4,21.6,"94.385287083","91.220749372"
"Bogaerts, Xander","593428","2024","0.688",".300",".306",".122",70.7,"7.2","88.1",32.1,5.1,33.2,"98.125304802","93.133969802"
"Polanco, Jorge","593871","2024","0.653",".288",".311",".178",69.7,"7.2","88.3",35.9,8.9,37.4,"99.204331655","93.755834657"
"Duvall, Adam","594807","2024","0.568",".252",".289",".198",72.4,"7.6","86.9",27.8,10.7,36.6,"99.791319515","93.950920683"
"Kiermaier, Kevin","595281","2024","0.550",".241",".233",".088",70.4,"7.1","86.4",27.6,3.9,30,"97.683193765","92.874723706"
"Profar, Jurickson","595777","2024","0.839",".365",".364",".165",71.7,"7.3","91.1",31.3,7.2,44.4,"100.952441293","94.862553707"
"Báez, Javier","595879","2024","0.515",".224",".268",".127",74.8,"8.6","88.3",27.7,7.8,40,"100.532651165","94.368542976"
"Cave, Jake","595909","2024","0.686",".295",".277",".128",69.5,"7","87.5",35.8,5.2,37.1,"98.314485398","93.366757022"
"Lindor, Francisco","596019","2024","0.844",".363",".382",".252",72.3,"7.6","90.9",35.4,13.6,47.4,"101.098117236","95.07615815"
"Slater, Austin","596103","2024","0.587",".273",".302",".091",71.9,"6.8","88.2",37.2,3.3,37.2,"98.373260169","93.491320256"
"Stubbs, Garrett","596117","2024","0.558",".258",".249",".048",66.6,"7.1","79.7",40.9,0,9.6,"90.095995","89.651776916"
"Sánchez, Gary","596142","2024","0.699",".307",".315",".191",73.1,"7.4","90",31.4,10.5,44.2,"101.892350698","95.129594012"
"Kepler, Max","596146","2024","0.682",".298",".302",".139",71.4,"7.4","88.9",35.4,6.2,36.8,"99.569991319","93.867541875"
"Candelario, Jeimer","600869","2024","0.708",".304",".284",".151",68.4,"7.8","86.9",33.9,8.2,34.5,"97.855535823","92.968221397"
"Urías, Ramón","602104","2024","0.745",".325",".331",".190",70.5,"7.5","88.3",32.6,8.7,38.5,"98.830197431","93.627220321"
"Ahmed, Nick","605113","2024","0.562",".248",".261",".098",67.9,"7.3","84.9",29.7,3,23,"95.399118608","91.729839045"
"Barnes, Austin","605131","2024","0.638",".289",".269",".067",68.2,"6.4","86.3",30.2,1.9,31.1,"96.963688654","92.484081538"
"Bell, Josh","605137","2024","0.724",".317",".315",".166",70.4,"7.9","88.9",31.4,7.6,40.1,"100.078711292","94.16958744"
"Betts, Mookie","605141","2024","0.863",".371",".363",".174",69.1,"6.9","89.9",39.3,6,39.5,"98.50877402","93.575257103"
"Caratini, Victor","605170","2024","0.744",".324",".326",".143",71.9,"7","91.2",35.9,5.6,43.1,"100.532909694","94.888518923"
"Davis, J.D.","605204","2024","0.631",".282",".284",".139",72.5,"7.3","89.1",24.3,8.7,43.7,"101.438864902","94.978441569"
"Martini, Nick","605361","2024","0.642",".279",".278",".131",69.8,"6.9","87.4",32.4,7.2,34.2,"98.233857857","93.416418378"
"Arcia, Orlando","606115","2024","0.625",".273",".263",".123",70.9,"7.9","88.2",29.9,5.3,37.8,"98.41985743","93.283896472"
"Hernández, Teoscar","606192","2024","0.840",".360",".348",".243",73.3,"7.8","90.6",33.8,14.9,46.8,"102.727395423","95.689116559"
"Marte, Ketel","606466","2024","0.932",".391",".395",".252",73.7,"7.6","94",33.7,12.3,53.8,"103.991137178","96.920444406"
"Nimmo, Brandon","607043","2024","0.726",".321",".337",".173",73.3,"7.3","91.9",33.7,9.1,47.4,"101.264982933","95.221659687"
